start_s,end_s,label
20.0015871836147,29.0015871836147,Wake
29.0015871836147,30.0015871836147,NREM
30.0015871836147,88.0015871836147,Wake
88.0015871836147,114.0015871836147,NREM
114.0015871836147,167.0015871836147,Wake
167.0015871836147,189.0015871836147,NREM
189.0015871836147,213.0015871836147,Wake
213.0015871836147,239.0015871836147,NREM
239.0015871836147,744.0015871836147,Wake
744.0015871836147,747.0015871836147,NREM
747.0015871836147,769.0015871836147,Wake
769.0015871836147,812.0015871836147,NREM
812.0015871836147,868.0015871836147,Wake
868.0015871836147,890.0015871836147,NREM
890.0015871836147,924.0015871836148,Wake
924.0015871836148,955.0015871836148,NREM
955.0015871836148,1000.0015871836148,Wake
1000.0015871836148,1056.001587183615,NREM
1056.001587183615,1057.001587183615,unclear
1057.001587183615,1132.001587183615,REM
1132.001587183615,1371.001587183615,Wake
1371.001587183615,1386.001587183615,NREM
1386.001587183615,1415.001587183615,Wake
1415.001587183615,1444.001587183615,NREM
1444.001587183615,1506.001587183615,Wake
1506.001587183615,1595.001587183615,NREM
1595.001587183615,1631.001587183615,Wake
1631.001587183615,1634.001587183615,NREM
1634.001587183615,1662.001587183615,Wake
1662.001587183615,1687.001587183615,NREM
1687.001587183615,1766.001587183615,Wake
1766.001587183615,1769.001587183615,NREM
1769.001587183615,1826.001587183615,Wake
1826.001587183615,1850.001587183615,NREM
1850.001587183615,1866.001587183615,Wake
1866.001587183615,1949.001587183615,NREM
1949.001587183615,1955.001587183615,REM
1955.001587183615,1958.001587183615,unclear
1958.001587183615,2005.001587183615,Wake
2005.001587183615,2011.001587183615,NREM
2011.001587183615,2026.001587183615,Wake
2026.001587183615,2044.001587183615,NREM
2044.001587183615,2074.001587183615,Wake
2074.001587183615,2108.001587183615,NREM
2108.001587183615,2120.001587183615,Wake
2120.001587183615,2146.001587183615,NREM
2146.001587183615,2168.001587183615,Wake
2168.001587183615,2233.001587183615,NREM
2233.001587183615,2385.001587183615,REM
2385.001587183615,2386.001587183615,unclear
2386.001587183615,2465.001587183615,Wake
2465.001587183615,2480.001587183615,NREM
2480.001587183615,2570.001587183615,Wake
2570.001587183615,2576.001587183615,NREM
2576.001587183615,2610.001587183615,Wake
2610.001587183615,2710.001587183615,NREM
2710.001587183615,2745.001587183615,Wake
2745.001587183615,2765.001587183615,NREM
2765.001587183615,2788.001587183615,Wake
2788.001587183615,2894.001587183615,NREM
2894.001587183615,2934.001587183615,Wake
2934.001587183615,2940.001587183615,NREM
2940.001587183615,2974.001587183615,Wake
2974.001587183615,3042.001587183615,NREM
3042.001587183615,3132.001587183615,Wake
3132.001587183615,3150.001587183615,NREM
3150.001587183615,3208.001587183615,Wake
3208.001587183615,3280.001587183615,NREM
3280.001587183615,3382.001587183615,Wake
3382.001587183615,3386.001587183615,NREM
3386.001587183615,3415.001587183615,Wake
3415.001587183615,3425.001587183615,NREM
3425.001587183615,3507.001587183615,Wake
3507.001587183615,3511.001587183615,NREM
3511.001587183615,3520.001587183615,Wake
3520.001587183615,3536.001587183615,NREM
3536.001587183615,3555.001587183615,Wake
3555.001587183615,3594.001587183615,NREM
3594.001587183615,3709.001587183615,Wake
3709.001587183615,3713.001587183615,NREM
3713.001587183615,3820.001587183615,Wake
3820.001587183615,3835.001587183615,NREM
3835.001587183615,3873.001587183615,Wake
3873.001587183615,3903.001587183615,NREM
3903.001587183615,3940.001587183615,Wake
3940.001587183615,3952.001587183615,NREM
3952.001587183615,3977.001587183615,Wake
3977.001587183615,4027.001587183615,NREM
4027.001587183615,4062.001587183615,Wake
4062.001587183615,4092.001587183615,NREM
4092.001587183615,4156.001587183615,Wake
4156.001587183615,4167.001587183615,NREM
4167.001587183615,4199.001587183615,Wake
4199.001587183615,4283.001587183615,NREM
4283.001587183615,4284.001587183615,unclear
4284.001587183615,4308.001587183615,REM
4308.001587183615,4478.001587183615,Wake
4478.001587183615,4480.001587183615,NREM
4480.001587183615,4499.001587183615,Wake
4499.001587183615,4514.001587183615,NREM
4514.001587183615,4543.001587183615,Wake
4543.001587183615,4558.001587183615,NREM
4558.001587183615,4598.001587183615,Wake
4598.001587183615,4623.001587183615,NREM
4623.001587183615,4686.001587183615,Wake
4686.001587183615,4715.001587183615,NREM
4715.001587183615,4739.001587183615,Wake
4739.001587183615,4810.001587183615,NREM
4810.001587183615,4856.001587183615,REM
4856.001587183615,4911.001587183615,Wake
4911.001587183615,4930.001587183615,NREM
4930.001587183615,4975.001587183615,Wake
4975.001587183615,5000.001587183615,NREM
5000.001587183615,5062.001587183615,Wake
5062.001587183615,5087.001587183615,NREM
5087.001587183615,5263.001587183615,Wake
5263.001587183615,5277.001587183615,NREM
5277.001587183615,5491.001587183615,Wake
